annotator,document,system,corpus,score
60,c63a2e8c41da0461bae5c913c23044c8ebaff1a0,BART,cnn_dm,6
60,406e2d8a6b0ced31908a3f747852f316e3700c08,seneca,cnn_dm,2
60,6abf6352c19611cb666d8e294ac39e1908893188,__REFERENCE__,cnn_dm,1
60,cb081b7d193ad2ca414abad651d9465427b9a41a,seneca,cnn_dm,7
60,cb081b7d193ad2ca414abad651d9465427b9a41a,__REFERENCE__,cnn_dm,3
60,3cc1c54c0b4e95634f7036e0e05ad8c35090eb82,__REFERENCE__,cnn_dm,6
60,6abf6352c19611cb666d8e294ac39e1908893188,seneca,cnn_dm,1
60,3cc1c54c0b4e95634f7036e0e05ad8c35090eb82,BART,cnn_dm,4
60,c63a2e8c41da0461bae5c913c23044c8ebaff1a0,onmt_pg,cnn_dm,2
60,3cc1c54c0b4e95634f7036e0e05ad8c35090eb82,onmt_pg,cnn_dm,6
60,3cc1c54c0b4e95634f7036e0e05ad8c35090eb82,abssentrw,cnn_dm,2
60,406e2d8a6b0ced31908a3f747852f316e3700c08,onmt_pg,cnn_dm,3
60,cb081b7d193ad2ca414abad651d9465427b9a41a,onmt_pg,cnn_dm,2
60,c63a2e8c41da0461bae5c913c23044c8ebaff1a0,seneca,cnn_dm,3
60,c63a2e8c41da0461bae5c913c23044c8ebaff1a0,abssentrw,cnn_dm,5
60,406e2d8a6b0ced31908a3f747852f316e3700c08,BART,cnn_dm,4
60,6abf6352c19611cb666d8e294ac39e1908893188,onmt_pg,cnn_dm,3
60,6abf6352c19611cb666d8e294ac39e1908893188,abssentrw,cnn_dm,2
60,6abf6352c19611cb666d8e294ac39e1908893188,BART,cnn_dm,4
60,3cc1c54c0b4e95634f7036e0e05ad8c35090eb82,seneca,cnn_dm,4
60,406e2d8a6b0ced31908a3f747852f316e3700c08,__REFERENCE__,cnn_dm,7
60,cb081b7d193ad2ca414abad651d9465427b9a41a,abssentrw,cnn_dm,7
60,c63a2e8c41da0461bae5c913c23044c8ebaff1a0,__REFERENCE__,cnn_dm,7
60,406e2d8a6b0ced31908a3f747852f316e3700c08,abssentrw,cnn_dm,2
60,cb081b7d193ad2ca414abad651d9465427b9a41a,BART,cnn_dm,1
61,c63a2e8c41da0461bae5c913c23044c8ebaff1a0,BART,cnn_dm,7
61,406e2d8a6b0ced31908a3f747852f316e3700c08,seneca,cnn_dm,6
61,6abf6352c19611cb666d8e294ac39e1908893188,__REFERENCE__,cnn_dm,7
61,cb081b7d193ad2ca414abad651d9465427b9a41a,seneca,cnn_dm,7
61,cb081b7d193ad2ca414abad651d9465427b9a41a,__REFERENCE__,cnn_dm,6
61,3cc1c54c0b4e95634f7036e0e05ad8c35090eb82,__REFERENCE__,cnn_dm,7
61,6abf6352c19611cb666d8e294ac39e1908893188,seneca,cnn_dm,3
61,3cc1c54c0b4e95634f7036e0e05ad8c35090eb82,BART,cnn_dm,4
61,c63a2e8c41da0461bae5c913c23044c8ebaff1a0,onmt_pg,cnn_dm,7
61,3cc1c54c0b4e95634f7036e0e05ad8c35090eb82,onmt_pg,cnn_dm,7
61,3cc1c54c0b4e95634f7036e0e05ad8c35090eb82,abssentrw,cnn_dm,7
61,406e2d8a6b0ced31908a3f747852f316e3700c08,onmt_pg,cnn_dm,7
61,cb081b7d193ad2ca414abad651d9465427b9a41a,onmt_pg,cnn_dm,6
61,c63a2e8c41da0461bae5c913c23044c8ebaff1a0,seneca,cnn_dm,7
61,c63a2e8c41da0461bae5c913c23044c8ebaff1a0,abssentrw,cnn_dm,7
61,406e2d8a6b0ced31908a3f747852f316e3700c08,BART,cnn_dm,7
61,6abf6352c19611cb666d8e294ac39e1908893188,onmt_pg,cnn_dm,3
61,6abf6352c19611cb666d8e294ac39e1908893188,abssentrw,cnn_dm,3
61,6abf6352c19611cb666d8e294ac39e1908893188,BART,cnn_dm,6
61,3cc1c54c0b4e95634f7036e0e05ad8c35090eb82,seneca,cnn_dm,5
61,406e2d8a6b0ced31908a3f747852f316e3700c08,__REFERENCE__,cnn_dm,7
61,cb081b7d193ad2ca414abad651d9465427b9a41a,abssentrw,cnn_dm,7
61,c63a2e8c41da0461bae5c913c23044c8ebaff1a0,__REFERENCE__,cnn_dm,6
61,406e2d8a6b0ced31908a3f747852f316e3700c08,abssentrw,cnn_dm,3
61,cb081b7d193ad2ca414abad651d9465427b9a41a,BART,cnn_dm,2
62,c63a2e8c41da0461bae5c913c23044c8ebaff1a0,BART,cnn_dm,7
62,406e2d8a6b0ced31908a3f747852f316e3700c08,seneca,cnn_dm,5
