annotator,document,system,corpus,rank
120,650080097eaecf363e78dc74d302379d480ba3e1,BART,cnn_dm,0
120,650080097eaecf363e78dc74d302379d480ba3e1,seneca,cnn_dm,2
120,650080097eaecf363e78dc74d302379d480ba3e1,onmt_pg,cnn_dm,3
120,650080097eaecf363e78dc74d302379d480ba3e1,abssentrw,cnn_dm,1
120,650080097eaecf363e78dc74d302379d480ba3e1,__REFERENCE__,cnn_dm,4
120,87a05def511c10ca18f87fb3ba39db3d6e379295,seneca,cnn_dm,4
120,87a05def511c10ca18f87fb3ba39db3d6e379295,BART,cnn_dm,1
120,87a05def511c10ca18f87fb3ba39db3d6e379295,onmt_pg,cnn_dm,0
120,87a05def511c10ca18f87fb3ba39db3d6e379295,abssentrw,cnn_dm,3
120,87a05def511c10ca18f87fb3ba39db3d6e379295,__REFERENCE__,cnn_dm,2
120,d7566835a137b644059f98354dc0144312be877c,onmt_pg,cnn_dm,1
120,d7566835a137b644059f98354dc0144312be877c,seneca,cnn_dm,2
120,d7566835a137b644059f98354dc0144312be877c,__REFERENCE__,cnn_dm,4
120,d7566835a137b644059f98354dc0144312be877c,abssentrw,cnn_dm,3
120,d7566835a137b644059f98354dc0144312be877c,BART,cnn_dm,0
120,3e08fd7813ddd0c07031b0c323d1a14160af970c,seneca,cnn_dm,4
120,3e08fd7813ddd0c07031b0c323d1a14160af970c,__REFERENCE__,cnn_dm,2
120,3e08fd7813ddd0c07031b0c323d1a14160af970c,abssentrw,cnn_dm,3
120,3e08fd7813ddd0c07031b0c323d1a14160af970c,onmt_pg,cnn_dm,1
120,3e08fd7813ddd0c07031b0c323d1a14160af970c,BART,cnn_dm,0
120,2d8090d6e313140c83b04d80d450866584f725ee,__REFERENCE__,cnn_dm,3
120,2d8090d6e313140c83b04d80d450866584f725ee,abssentrw,cnn_dm,4
120,2d8090d6e313140c83b04d80d450866584f725ee,onmt_pg,cnn_dm,1
120,2d8090d6e313140c83b04d80d450866584f725ee,BART,cnn_dm,0
120,2d8090d6e313140c83b04d80d450866584f725ee,seneca,cnn_dm,2
121,d322d72a8565ac2487b85e0b71035d4812ab80f1,BART,cnn_dm,4
121,d322d72a8565ac2487b85e0b71035d4812ab80f1,seneca,cnn_dm,0
121,d322d72a8565ac2487b85e0b71035d4812ab80f1,__REFERENCE__,cnn_dm,2
121,d322d72a8565ac2487b85e0b71035d4812ab80f1,onmt_pg,cnn_dm,1
121,d322d72a8565ac2487b85e0b71035d4812ab80f1,abssentrw,cnn_dm,3
121,aab238ffef9ea27adcdc25882ba9e261aaf93995,abssentrw,cnn_dm,4
121,aab238ffef9ea27adcdc25882ba9e261aaf93995,seneca,cnn_dm,2
121,aab238ffef9ea27adcdc25882ba9e261aaf93995,__REFERENCE__,cnn_dm,0
121,aab238ffef9ea27adcdc25882ba9e261aaf93995,BART,cnn_dm,3
121,aab238ffef9ea27adcdc25882ba9e261aaf93995,onmt_pg,cnn_dm,1
121,951535fc236a616bb55f29b4f93dc54b08e5bbb1,__REFERENCE__,cnn_dm,3
121,951535fc236a616bb55f29b4f93dc54b08e5bbb1,abssentrw,cnn_dm,4
121,951535fc236a616bb55f29b4f93dc54b08e5bbb1,BART,cnn_dm,2
121,951535fc236a616bb55f29b4f93dc54b08e5bbb1,seneca,cnn_dm,0
121,951535fc236a616bb55f29b4f93dc54b08e5bbb1,onmt_pg,cnn_dm,1
121,1494f1f351a0898ec3620b3c4a49b15d9f740a0e,seneca,cnn_dm,3
121,1494f1f351a0898ec3620b3c4a49b15d9f740a0e,__REFERENCE__,cnn_dm,4
121,1494f1f351a0898ec3620b3c4a49b15d9f740a0e,BART,cnn_dm,0
121,1494f1f351a0898ec3620b3c4a49b15d9f740a0e,onmt_pg,cnn_dm,1
121,1494f1f351a0898ec3620b3c4a49b15d9f740a0e,abssentrw,cnn_dm,2
121,e27f9736be51b66e759a9ae7bceb0d6c4ba3d457,__REFERENCE__,cnn_dm,0
121,e27f9736be51b66e759a9ae7bceb0d6c4ba3d457,seneca,cnn_dm,3
121,e27f9736be51b66e759a9ae7bceb0d6c4ba3d457,abssentrw,cnn_dm,1
121,e27f9736be51b66e759a9ae7bceb0d6c4ba3d457,onmt_pg,cnn_dm,2
121,e27f9736be51b66e759a9ae7bceb0d6c4ba3d457,BART,cnn_dm,4
122,484b88f32a6422b318e7d5cd25809082579485b9,onmt_pg,cnn_dm,1
122,484b88f32a6422b318e7d5cd25809082579485b9,__REFERENCE__,cnn_dm,0
122,484b88f32a6422b318e7d5cd25809082579485b9,abssentrw,cnn_dm,2
122,484b88f32a6422b318e7d5cd25809082579485b9,seneca,cnn_dm,3
122,484b88f32a6422b318e7d5cd25809082579485b9,BART,cnn_dm,4
122,71a6c5b02c23ff85c97d594659426c1dcbb2c0b4,abssentrw,cnn_dm,1
122,71a6c5b02c23ff85c97d594659426c1dcbb2c0b4,onmt_pg,cnn_dm,3
122,71a6c5b02c23ff85c97d594659426c1dcbb2c0b4,BART,cnn_dm,0
122,71a6c5b02c23ff85c97d594659426c1dcbb2c0b4,__REFERENCE__,cnn_dm,4
122,71a6c5b02c23ff85c97d594659426c1dcbb2c0b4,seneca,cnn_dm,2
122,a396e698f80b68e0392dfa6d66ce0731940375f3,seneca,cnn_dm,4
122,a396e698f80b68e0392dfa6d66ce0731940375f3,__REFERENCE__,cnn_dm,0
122,a396e698f80b68e0392dfa6d66ce0731940375f3,onmt_pg,cnn_dm,3
122,a396e698f80b68e0392dfa6d66ce0731940375f3,BART,cnn_dm,2
122,a396e698f80b68e0392dfa6d66ce0731940375f3,abssentrw,cnn_dm,1
122,6ef2edc93a597248336109a8d24e997ad2156ea3,seneca,cnn_dm,3
122,6ef2edc93a597248336109a8d24e997ad2156ea3,__REFERENCE__,cnn_dm,2
122,6ef2edc93a597248336109a8d24e997ad2156ea3,onmt_pg,cnn_dm,1
122,6ef2edc93a597248336109a8d24e997ad2156ea3,abssentrw,cnn_dm,4
122,6ef2edc93a597248336109a8d24e997ad2156ea3,BART,cnn_dm,0
122,5fba9d52dbfba81deef1fa9555a5bcb96f84e49b,__REFERENCE__,cnn_dm,1
122,5fba9d52dbfba81deef1fa9555a5bcb96f84e49b,abssentrw,cnn_dm,2
122,5fba9d52dbfba81deef1fa9555a5bcb96f84e49b,BART,cnn_dm,0
122,5fba9d52dbfba81deef1fa9555a5bcb96f84e49b,onmt_pg,cnn_dm,3
122,5fba9d52dbfba81deef1fa9555a5bcb96f84e49b,seneca,cnn_dm,4
123,50e6a46711b64f333ddd3ce529097fa553c3913c,seneca,cnn_dm,4
123,50e6a46711b64f333ddd3ce529097fa553c3913c,onmt_pg,cnn_dm,2
123,50e6a46711b64f333ddd3ce529097fa553c3913c,BART,cnn_dm,0
123,50e6a46711b64f333ddd3ce529097fa553c3913c,abssentrw,cnn_dm,3
123,50e6a46711b64f333ddd3ce529097fa553c3913c,__REFERENCE__,cnn_dm,1
123,e2706dce6cf26bc61b082438188fdb6e130d9e40,onmt_pg,cnn_dm,3
123,e2706dce6cf26bc61b082438188fdb6e130d9e40,BART,cnn_dm,0
123,e2706dce6cf26bc61b082438188fdb6e130d9e40,abssentrw,cnn_dm,2
123,e2706dce6cf26bc61b082438188fdb6e130d9e40,seneca,cnn_dm,4
123,e2706dce6cf26bc61b082438188fdb6e130d9e40,__REFERENCE__,cnn_dm,1
123,7df3e37c8613fd20fb6791aed1b2b31b4ac7a522,abssentrw,cnn_dm,2
