annotator,position,time_stamp
2,0,28.94083
2,1,20.834851999999998
2,2,14.228104
2,3,78.060112
2,4,38.523381
2,5,51.01536
2,6,17.06391
2,7,156.363805
2,8,78.80727900000001
2,9,43.415856
2,10,52.376537
2,11,39.279813
2,12,250.27962999999997
2,13,8.211858
2,14,98.81611600000001
2,15,16.934856
2,16,4.422507
2,17,4.677008
2,18,15.325319
2,19,22.962745
2,20,4.8541300000000005
2,21,10.465698
2,22,6.0267610000000005
2,23,16.115776
2,24,137.98920900000002
0,0,50.613832
0,1,35.820309
0,2,36.061225
0,3,30.870515
0,4,22.714433
0,5,31.955185999999998
0,6,22.617199
0,7,57.741742
0,8,24.696087
0,9,22.061472
0,10,74.830747
0,11,22.710461
0,12,21.738882
0,13,14.789995999999999
0,14,13.333072
0,15,23.030325
0,16,16.138859
0,17,27.755984
0,18,32.620148
0,19,19.065852
0,20,8.577736
0,21,17.037149
0,22,49.269186
0,23,15.180653
0,24,10.208478
1,0,47.258516
1,1,38.709833
1,2,37.390029999999996
1,3,14.920112
1,4,45.360952000000005
1,5,20.20435
1,6,6.823939
1,7,7.216203
1,8,5.014451
1,9,15.220089999999999
1,10,6.776484
1,11,5.252574
1,12,3.6078089999999996
1,13,3.872524
1,14,9.272211
1,15,3.179093
1,16,3.221722
1,17,12.463939
1,18,12.555511
1,19,26.510207
1,20,27.65219
1,21,6.884764
1,22,7.064355
1,23,10.2336
1,24,5.194333
3,0,40.205017
3,1,16.129755
3,2,7.0406070000000005
3,3,11.467225
3,4,13.891263
3,5,9.880704
3,6,10.432881
3,7,17.874021
3,8,9.185428
3,9,10.82997
3,10,7.624910000000001
3,11,8.81997
3,12,15.026526
3,13,17.840774
3,14,13.910884
3,15,9.20161
3,16,7.470022999999999
3,17,13.864326
3,18,7.507321000000001
3,19,9.781963000000001
3,20,10.163025
3,21,6.614186
3,22,8.142739
3,23,6.806388
3,24,6.587691
8,0,75.649523
8,1,68.962778
8,2,27.487508000000002
8,3,41.107185
8,4,31.295964
8,5,49.95148
8,6,31.599832
8,7,45.228739000000004
8,8,23.484267000000003
8,9,30.285921000000002
8,10,52.557033999999994
8,11,19.521317
8,12,37.400844
8,13,47.910947
8,14,27.406252000000002
8,15,20.276447
8,16,21.482295999999998
8,17,34.157645
8,18,34.439481
8,19,28.643642
8,20,39.394403999999994
8,21,16.847642
8,22,30.557147999999998
8,23,25.763220999999998
8,24,24.751951000000002
10,0,29.281779999999998
10,1,25.614504999999998
10,2,40.912461
10,3,51.285652
10,4,32.742773
10,5,40.107974
10,6,48.859105
10,7,30.326990000000002
10,8,41.495604
10,9,49.358932
10,10,19.564511
10,11,48.202145
10,12,18.447157999999998
10,13,31.066101
10,14,61.890657999999995
10,15,43.137834000000005
10,16,70.29309
10,17,95.736819
10,18,40.947602
10,19,35.204882
10,20,36.649293
10,21,49.334179999999996
10,22,82.373949
10,23,99.303299
10,24,134.883392
4,0,58.197252
4,1,24.027549
4,2,13.090204
4,3,33.073204
4,4,15.649685999999999
4,5,18.546739000000002
4,6,12.966842999999999
4,7,16.73795
4,8,22.482532
4,9,16.148878
4,10,14.679035999999998
4,11,14.788631
4,12,17.203492999999998
4,13,19.811903
4,14,18.065693
4,15,11.507184
4,16,10.694166000000001
4,17,13.321855
4,18,7.522336
4,19,13.819042000000001
4,20,9.101658
4,21,15.277157999999998
4,22,18.241715
4,23,12.274583999999999
4,24,12.026352000000001
7,0,75.651322
7,1,45.358424
7,2,47.412085999999995
7,3,26.495023
7,4,23.634846
7,5,47.556676
7,6,32.053303
7,7,16.449158999999998
7,8,22.311845
7,9,43.59659
7,10,19.508359
7,11,19.119943
7,12,17.181722
7,13,11.838376
7,14,22.638063
7,15,13.787479999999999
7,16,13.560354
7,17,19.823659
7,18,11.650226
7,19,16.390915
7,20,13.620725
7,21,21.263476999999998
7,22,17.387745000000002
7,23,11.412997
7,24,10.305697
11,0,80.24588100000001
11,1,207.83146100000002
11,2,126.474948
11,3,93.367069
11,4,29.191609000000003
11,5,48.230912
11,6,29.252985
11,7,31.715553999999997
11,8,50.961431
