annotator,position,time_stamp
181,0,162.829225
181,1,75.469773
181,2,63.695598
181,3,53.035886
181,4,58.770185999999995
182,0,169.090895
182,1,85.578558
182,2,65.49094000000001
182,3,66.440462
182,4,80.895076
183,0,99.88424599999999
183,1,65.97046800000001
183,2,62.591296
183,3,61.418484
183,4,70.160387
184,0,54.828166
184,1,51.885475
184,2,32.53086
184,3,41.282019
184,4,21.909533
186,0,209.360994
186,1,98.012624
186,2,105.51916499999999
186,3,58.344162
186,4,54.916458
185,0,85.342698
185,1,78.96919
185,2,76.428828
185,3,67.983517
185,4,51.805991
188,0,209.717602
188,1,93.354649
188,2,104.012213
188,3,82.464874
188,4,129.381627
190,0,194.874214
190,1,143.109614
190,2,80.723465
190,3,2577.109667
190,4,152.905643
187,0,135.505077
187,1,96.789866
187,2,68.714063
187,3,8.491547
187,4,8.982791
191,0,81.355834
191,1,86.15129
191,2,84.74938900000001
191,3,58.450906
191,4,54.227835999999996
193,0,94.614334
193,1,102.867056
193,2,57.600713
193,3,52.493835
193,4,152.142346
221,0,325.231298
221,1,134.14080800000002
221,2,240.668191
221,3,138.263747
221,4,157.330959
180,0,75.976998
180,1,21.443135
180,2,10.291834
180,3,18.636533
180,4,12.203128999999999
189,0,268.46139300000004
189,1,99.204477
189,2,105.688276
189,3,88.491745
189,4,69.44305200000001
215,0,175.203362
215,1,166.79756
215,2,96.560045
215,3,77.992434
215,4,67.695493
192,0,62.764688
192,1,23.210727
192,2,13.191042999999999
192,3,9.310134
192,4,9.921873
213,0,54.96688100000001
213,1,32.738425
213,2,31.109659999999998
213,3,19.130108
213,4,1400.521059
195,0,90.325018
195,1,69.686876
195,2,41.841054
195,3,41.188002000000004
195,4,34.668096999999996
216,0,108.090254
216,1,103.694446
216,2,47.5397
216,3,67.08531500000001
216,4,96.70919599999999
209,0,240.862195
209,1,102.550073
209,2,105.822685
209,3,105.057994
209,4,94.915203
194,0,41.281135
194,1,22.875395
194,2,38.127527
194,3,31.241271
194,4,29.070320000000002
196,0,45.056939
196,1,27.546559999999996
196,2,23.853111
196,3,12.289639999999999
196,4,14.872082
203,0,144.02043
203,1,96.562402
203,2,72.582544
203,3,63.09491
203,4,77.63375699999999
211,0,301.348007
211,1,120.852675
211,2,92.62710200000001
211,3,157.242875
211,4,118.343745
198,0,136.465141
198,1,65.36869
198,2,41.304961999999996
198,3,55.737671999999996
198,4,59.500552
208,0,155.29440300000002
208,1,143.54267099999998
208,2,116.277781
208,3,95.492977
208,4,60.526097
205,0,196.773185
205,1,80.37312
205,2,64.876947
205,3,42.761296
205,4,54.201154
207,0,207.85966399999998
207,1,85.494686
207,2,92.97457
207,3,94.339943
207,4,73.232084
201,0,80.917107
201,1,98.237604
201,2,64.901438
201,3,26.315834999999996
201,4,68.136577
219,0,101.015036
219,1,79.093649
219,2,110.45908700000001
219,3,69.328852
219,4,79.001143
197,0,57.741631000000005
197,1,48.970758000000004
197,2,34.421115
197,3,24.777338
197,4,49.926278
210,0,242.06735299999997
210,1,147.182941
210,2,140.481086
210,3,95.250926
210,4,66.323817
214,0,1913.762468
214,1,103.222525
214,2,19.989209
214,3,17.817199
214,4,13.028986
199,0,96.919228
199,1,44.996851
199,2,36.028392
199,3,26.334531
199,4,38.131213
217,0,94.93813399999999
217,1,63.895127
217,2,49.118364
217,3,58.20667099999999
217,4,60.043239
226,0,268.471083
226,1,129.097872
226,2,87.032205
226,3,96.512123
226,4,87.42741600000001
212,0,189.454652
212,1,127.92316100000001
212,2,111.372372
212,3,107.85248700000001
212,4,98.55585
233,0,300.4222
233,1,213.068048
233,2,207.466551
233,3,103.386379
233,4,69.786091
222,0,152.34426200000001
222,1,71.867941
222,2,57.786916000000005
222,3,53.75401
222,4,50.335307
202,0,76.083135
202,1,57.6731
202,2,49.179995
202,3,69.63946999999999
202,4,43.054666
206,0,119.265326
206,1,55.888580000000005
206,2,49.678693
206,3,49.702478
206,4,38.150407
200,0,69.959214
200,1,32.95711
200,2,36.170926
200,3,25.544511
200,4,20.712619
204,0,90.663589
204,1,35.161797
204,2,31.632506
204,3,25.216912
204,4,32.15941
220,0,105.694023
220,1,58.776601
220,2,30.508644
220,3,40.419140000000006
220,4,30.568053000000003
227,0,139.32090300000002
227,1,113.59941599999999
227,2,74.852111
227,3,97.710564
227,4,89.575041
218,0,51.648481
218,1,20.240471
218,2,25.133816
218,3,20.54344
218,4,14.579360000000001
224,0,79.32759399999999
224,1,52.419177000000005
224,2,44.736497
224,3,28.884074
224,4,28.546390999999996
229,0,110.60116399999998
229,1,83.960567
229,2,80.206724
229,3,88.786419
229,4,90.012251
228,0,113.3387
228,1,90.447834
228,2,74.52364200000001
228,3,50.571687
228,4,92.356211
223,0,81.958304
223,1,21.150106
223,2,19.189232
223,3,96.32069200000001
223,4,10.689492999999999
225,0,132.908511
225,1,46.10045
225,2,39.554235
225,3,41.444357000000004
225,4,38.776644
230,0,93.368673
230,1,79.914103
230,2,81.047004
230,3,60.454077000000005
230,4,57.91836
234,0,170.000721
234,1,107.869373
234,2,168.680578
234,3,93.329104
234,4,144.060627
232,0,144.614256
232,1,70.98415200000001
232,2,86.978222
232,3,76.507458
232,4,104.97776999999999
235,0,155.984373
235,1,179.045065
235,2,93.840847
235,3,102.107875
235,4,91.56835500000001
236,0,167.005664
236,1,303.742181
236,2,236.917483
236,3,137.179135
236,4,140.502557
231,0,38.387170000000005
231,1,46.8027
231,2,54.25976
231,3,38.906715999999996
231,4,52.487191
237,0,68.595117
237,1,32.022688
237,2,14.546368
237,3,38.796686
237,4,51.974921
239,0,70.285777
239,1,82.119385
239,2,238.73037000000002
239,3,17.728692000000002
239,4,21.295525
238,0,55.251554000000006
238,1,80.879324
238,2,14.532517000000002
238,3,13.054494
238,4,13.278178
