,,p_value
__REFERENCE__,abssentrw,0.4147319
BART,__REFERENCE__,3.548352e-05
onmt_pg,__REFERENCE__,5.714026e-05
__REFERENCE__,seneca,9.843557e-08
BART,abssentrw,3.272935e-07
onmt_pg,abssentrw,3.066495e-06
abssentrw,seneca,0.0004151342
BART,onmt_pg,0.6289395
BART,seneca,3.923389e-20
onmt_pg,seneca,3.021048e-19
__REFERENCE__,abssentrw,0.1603965
BART,__REFERENCE__,2.272001e-09
onmt_pg,__REFERENCE__,0.002935916
__REFERENCE__,seneca,1.97697e-10
BART,abssentrw,1.639511e-15
onmt_pg,abssentrw,2.966295e-06
abssentrw,seneca,1.108506e-07
BART,onmt_pg,2.249943e-05
BART,seneca,1.586439e-34
onmt_pg,seneca,4.614195e-21
__REFERENCE__,abssentrw,0.7664744
BART,__REFERENCE__,7.224607e-14
onmt_pg,__REFERENCE__,1.087054e-05
__REFERENCE__,seneca,0.0002478417
BART,abssentrw,2.129467e-11
onmt_pg,abssentrw,1.782773e-06
abssentrw,seneca,2.363727e-05
BART,onmt_pg,0.005721457
BART,seneca,1.858254e-22
onmt_pg,seneca,2.723652e-19
__REFERENCE__,abssentrw,0.2384709
BART,__REFERENCE__,1.547117e-09
onmt_pg,__REFERENCE__,0.0002556138
__REFERENCE__,seneca,0.0006738953
BART,abssentrw,1.181063e-08
onmt_pg,abssentrw,4.018859e-06
abssentrw,seneca,0.06760202
BART,onmt_pg,0.008527555
BART,seneca,5.494253e-19
onmt_pg,seneca,9.237268e-09
__REFERENCE__,abssentrw,1.0
__REFERENCE__,BART,1.0
__REFERENCE__,onmt_pg,1.0
__REFERENCE__,seneca,1.0
abssentrw,BART,1.0
abssentrw,onmt_pg,1.0
abssentrw,seneca,1.0
BART,onmt_pg,1.0
BART,seneca,1.0
onmt_pg,seneca,1.0
__REFERENCE__,abssentrw,0.02419844
BART,__REFERENCE__,4.901913e-10
onmt_pg,__REFERENCE__,4.418569e-05
__REFERENCE__,seneca,2.73146e-05
BART,abssentrw,1.049258e-11
onmt_pg,abssentrw,6.631343e-10
abssentrw,seneca,0.128069
BART,onmt_pg,0.002059343
BART,seneca,5.03308e-26
onmt_pg,seneca,8.788591e-14
__REFERENCE__,abssentrw,0.2641636
BART,__REFERENCE__,4.380446e-14
onmt_pg,__REFERENCE__,1.460666e-05
__REFERENCE__,seneca,0.0003055177
BART,abssentrw,3.65301e-08
onmt_pg,abssentrw,0.001011822
abssentrw,seneca,0.0001697092
BART,onmt_pg,0.003347036
BART,seneca,3.098959e-26
onmt_pg,seneca,2.270406e-12
__REFERENCE__,abssentrw,0.7568993
BART,__REFERENCE__,1.246146e-12
onmt_pg,__REFERENCE__,1.168418e-05
__REFERENCE__,seneca,0.001280323
BART,abssentrw,7.369051e-10
onmt_pg,abssentrw,2.367366e-06
abssentrw,seneca,0.01212481
BART,onmt_pg,0.004903172
BART,seneca,2.188688e-22
onmt_pg,seneca,6.21109e-13
__REFERENCE__,abssentrw,0.04994576
BART,__REFERENCE__,9.756033e-21
onmt_pg,__REFERENCE__,1.046464e-06
