,,p_value
__REFERENCE__,abssentrw,3.511415e-07
__REFERENCE__,BART,0.004676318
__REFERENCE__,onmt_pg,0.000373071
__REFERENCE__,seneca,6.781356e-10
BART,abssentrw,0.000488846
onmt_pg,abssentrw,0.0003304139
abssentrw,seneca,0.07414833
BART,onmt_pg,0.2981306
BART,seneca,0.009330268
onmt_pg,seneca,0.03351493
__REFERENCE__,abssentrw,2.784724e-14
__REFERENCE__,BART,0.009256656
__REFERENCE__,onmt_pg,0.007547707
__REFERENCE__,seneca,2.875022e-08
BART,abssentrw,7.976219e-06
onmt_pg,abssentrw,5.330961e-07
abssentrw,seneca,0.6125032
BART,onmt_pg,0.8261011
BART,seneca,0.003417232
onmt_pg,seneca,3.565893e-05
__REFERENCE__,abssentrw,1.708945e-07
__REFERENCE__,BART,0.002097425
__REFERENCE__,onmt_pg,0.01094013
__REFERENCE__,seneca,8.749046e-10
BART,abssentrw,1.612981e-06
onmt_pg,abssentrw,3.615211e-05
abssentrw,seneca,0.07484337
BART,onmt_pg,0.9522087
BART,seneca,0.001965961
onmt_pg,seneca,0.0002380465
__REFERENCE__,abssentrw,1.0
__REFERENCE__,BART,1.0
__REFERENCE__,onmt_pg,1.0
__REFERENCE__,seneca,1.0
abssentrw,BART,1.0
abssentrw,onmt_pg,1.0
abssentrw,seneca,1.0
BART,onmt_pg,1.0
BART,seneca,1.0
onmt_pg,seneca,1.0
__REFERENCE__,abssentrw,1.206096e-18
__REFERENCE__,BART,0.8730918
__REFERENCE__,onmt_pg,0.03462356
__REFERENCE__,seneca,6.221333e-07
BART,abssentrw,5.506826e-10
onmt_pg,abssentrw,7.892337e-10
seneca,abssentrw,0.0003892326
BART,onmt_pg,0.02215617
BART,seneca,3.623733e-05
onmt_pg,seneca,0.0009732624
__REFERENCE__,abssentrw,1.037445e-05
__REFERENCE__,BART,0.03550659
__REFERENCE__,onmt_pg,0.05599844
__REFERENCE__,seneca,0.01404488
BART,abssentrw,8.963858e-05
onmt_pg,abssentrw,2.451991e-05
abssentrw,seneca,0.1300296
BART,onmt_pg,0.9255574
BART,seneca,0.2825212
onmt_pg,seneca,0.2081583
__REFERENCE__,abssentrw,5.271968e-09
__REFERENCE__,BART,0.002694282
__REFERENCE__,onmt_pg,0.02796283
__REFERENCE__,seneca,1.551435e-07
BART,abssentrw,3.160068e-05
onmt_pg,abssentrw,0.0001673971
abssentrw,seneca,0.5410529
BART,onmt_pg,0.5682763
BART,seneca,0.001914462
onmt_pg,seneca,6.712803e-05
__REFERENCE__,abssentrw,6.894314e-06
__REFERENCE__,BART,0.7712205
__REFERENCE__,onmt_pg,0.2155466
__REFERENCE__,seneca,4.353206e-08
BART,abssentrw,0.0002206756
onmt_pg,abssentrw,0.002597435
abssentrw,seneca,0.1996143
BART,onmt_pg,0.2238704
BART,seneca,2.046859e-12
onmt_pg,seneca,8.921945e-08
__REFERENCE__,abssentrw,2.103483e-05
__REFERENCE__,BART,0.09010663
__REFERENCE__,onmt_pg,0.01654309
__REFERENCE__,seneca,0.001824209
BART,abssentrw,0.004806925
onmt_pg,abssentrw,0.02542895
abssentrw,seneca,0.508744
BART,onmt_pg,0.1182586
BART,seneca,0.004095264
onmt_pg,seneca,0.03157052
__REFERENCE__,abssentrw,0.003934624
__REFERENCE__,BART,0.5303903
__REFERENCE__,onmt_pg,0.1560366
__REFERENCE__,seneca,2.276972e-05
BART,abssentrw,0.007867225
onmt_pg,abssentrw,0.03891061
abssentrw,seneca,0.8325759
BART,onmt_pg,0.2647492
BART,seneca,7.380459e-05
onmt_pg,seneca,8.265117e-05
__REFERENCE__,abssentrw,5.207456e-12
__REFERENCE__,BART,3.386798e-05
__REFERENCE__,onmt_pg,0.0003505442
__REFERENCE__,seneca,3.129672e-06
BART,abssentrw,1.853148e-05
onmt_pg,abssentrw,0.002715156
abssentrw,seneca,0.1540535
BART,onmt_pg,0.5723484
BART,seneca,0.009673213
onmt_pg,seneca,0.001104533
__REFERENCE__,abssentrw,0.0004393537
__REFERENCE__,BART,0.125465
__REFERENCE__,onmt_pg,0.03909575
__REFERENCE__,seneca,0.00172325
BART,abssentrw,0.02216039
abssentrw,onmt_pg,0.1505097
abssentrw,seneca,0.9518053
BART,onmt_pg,0.1581733
BART,seneca,0.0004939439
onmt_pg,seneca,0.002634288
__REFERENCE__,abssentrw,0.0003675797
__REFERENCE__,BART,0.1260605
__REFERENCE__,onmt_pg,0.05190196
__REFERENCE__,seneca,0.0006129455
BART,abssentrw,0.01505494
onmt_pg,abssentrw,0.007083363
abssentrw,seneca,0.7515625
BART,onmt_pg,0.5518489
BART,seneca,3.677745e-06
onmt_pg,seneca,0.0001145919
__REFERENCE__,abssentrw,5.789585e-06
__REFERENCE__,BART,0.138901
__REFERENCE__,onmt_pg,0.02191259
__REFERENCE__,seneca,5.769302e-05
BART,abssentrw,2.112906e-05
onmt_pg,abssentrw,0.0001190909
abssentrw,seneca,0.1946237
BART,onmt_pg,0.1802375
BART,seneca,7.760055e-05
onmt_pg,seneca,0.002531519
__REFERENCE__,abssentrw,7.188472e-24
__REFERENCE__,BART,0.0940958
__REFERENCE__,onmt_pg,0.01595236
__REFERENCE__,seneca,0.0004432074
BART,abssentrw,1.112819e-08
onmt_pg,abssentrw,3.064426e-06
abssentrw,seneca,0.2100432
BART,onmt_pg,0.2389712
BART,seneca,0.00126869
onmt_pg,seneca,0.009358678
__REFERENCE__,abssentrw,7.326206e-13
__REFERENCE__,BART,0.07270141
__REFERENCE__,onmt_pg,0.08439552
__REFERENCE__,seneca,4.417193e-06
BART,abssentrw,6.567829e-12
onmt_pg,abssentrw,2.062927e-14
seneca,abssentrw,0.0002704677
BART,onmt_pg,0.5804503
BART,seneca,5.042859e-05
onmt_pg,seneca,3.410102e-05
__REFERENCE__,abssentrw,2.647291e-17
__REFERENCE__,BART,0.5778595
__REFERENCE__,onmt_pg,0.06220809
__REFERENCE__,seneca,0.0004514993
BART,abssentrw,2.862573e-13
onmt_pg,abssentrw,9.426707e-12
seneca,abssentrw,0.0005814118
BART,onmt_pg,0.05292732
BART,seneca,0.001861087
onmt_pg,seneca,0.0356364
__REFERENCE__,abssentrw,1.975268e-07
__REFERENCE__,BART,0.04680324
__REFERENCE__,onmt_pg,0.00607583
__REFERENCE__,seneca,7.407225e-10
BART,abssentrw,0.004250507
onmt_pg,abssentrw,0.0002478525
abssentrw,seneca,0.4000458
BART,onmt_pg,0.7188101
BART,seneca,7.791667e-06
onmt_pg,seneca,9.676728e-06
__REFERENCE__,abssentrw,0.0004400547
__REFERENCE__,BART,0.04684969
__REFERENCE__,onmt_pg,0.01856524
__REFERENCE__,seneca,4.743006e-05
abssentrw,BART,0.156878
abssentrw,onmt_pg,0.1376711
abssentrw,seneca,0.7860957
BART,onmt_pg,0.662864
BART,seneca,0.002692111
onmt_pg,seneca,0.001738931
__REFERENCE__,abssentrw,1.239374e-08
__REFERENCE__,BART,0.07299636
__REFERENCE__,onmt_pg,0.04990741
__REFERENCE__,seneca,0.0005046187
BART,abssentrw,0.000684547
onmt_pg,abssentrw,5.237295e-06
abssentrw,seneca,0.1568703
BART,onmt_pg,0.9962423
BART,seneca,0.01860878
onmt_pg,seneca,0.0006582102
__REFERENCE__,abssentrw,1.532107e-11
__REFERENCE__,BART,0.04270257
__REFERENCE__,onmt_pg,0.004004608
__REFERENCE__,seneca,6.562299e-20
BART,abssentrw,1.304143e-05
onmt_pg,abssentrw,2.430228e-05
abssentrw,seneca,0.8551031
BART,onmt_pg,0.236018
BART,seneca,3.628023e-06
onmt_pg,seneca,3.813215e-05
__REFERENCE__,abssentrw,1.647999e-08
__REFERENCE__,BART,0.007828506
__REFERENCE__,onmt_pg,2.062255e-05
__REFERENCE__,seneca,4.621272e-11
BART,abssentrw,0.03336894
abssentrw,onmt_pg,0.161188
abssentrw,seneca,0.3290924
BART,onmt_pg,0.02536965
BART,seneca,3.244737e-12
onmt_pg,seneca,2.118688e-06
__REFERENCE__,abssentrw,3.617146e-05
__REFERENCE__,BART,0.009157042
__REFERENCE__,onmt_pg,0.001406973
__REFERENCE__,seneca,9.810655e-11
BART,abssentrw,0.009082475
onmt_pg,abssentrw,0.04288002
abssentrw,seneca,0.5677525
BART,onmt_pg,0.1932984
BART,seneca,6.050702e-07
onmt_pg,seneca,2.580966e-05
__REFERENCE__,abssentrw,9.069437e-07
__REFERENCE__,BART,0.0004420098
__REFERENCE__,onmt_pg,0.005987416
__REFERENCE__,seneca,3.030669e-07
BART,abssentrw,0.04246055
onmt_pg,abssentrw,0.01155048
abssentrw,seneca,0.5280926
BART,onmt_pg,0.6765881
BART,seneca,0.02294362
onmt_pg,seneca,0.0004601638
__REFERENCE__,abssentrw,1.777254e-09
__REFERENCE__,BART,0.125672
__REFERENCE__,onmt_pg,0.0004333477
__REFERENCE__,seneca,2.03338e-09
BART,abssentrw,1.362882e-05
onmt_pg,abssentrw,0.003873279
abssentrw,seneca,0.2875135
BART,onmt_pg,0.002950631
BART,seneca,4.163483e-11
